"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 28 05:54:36 UTC 2025","Wed May 28 05:54:37 UTC 2025","258","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Custom Range",""
"passed","Wed May 28 05:54:34 UTC 2025","Wed May 28 05:54:34 UTC 2025","251","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 05:54:30 UTC 2025","Wed May 28 05:54:31 UTC 2025","495","A - A - A - Unity API Automation","Fund Transfer","","","","NEFT",""
"failed","Wed May 28 05:54:35 UTC 2025","Wed May 28 05:54:35 UTC 2025","254","A - A - A - Unity API Automation","Mini Statement","","","","Excel Mini Statement",""
"failed","Wed May 28 05:54:30 UTC 2025","Wed May 28 05:54:30 UTC 2025","256","A - A - A - Unity API Automation","Login","","","","Search Beneficiary",""
"failed","Wed May 28 05:54:37 UTC 2025","Wed May 28 05:54:37 UTC 2025","257","A - A - A - Unity API Automation","","","","","Log Out",""
"passed","Wed May 28 05:54:33 UTC 2025","Wed May 28 05:54:33 UTC 2025","251","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 05:54:30 UTC 2025","Wed May 28 05:54:30 UTC 2025","262","A - A - A - Unity API Automation","Login","","","","Account",""
"failed","Wed May 28 05:54:36 UTC 2025","Wed May 28 05:54:36 UTC 2025","254","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last FY",""
"passed","Wed May 28 05:54:29 UTC 2025","Wed May 28 05:54:29 UTC 2025","279","A - A - A - Unity API Automation","Login","","","","User Login",""
"failed","Wed May 28 05:54:31 UTC 2025","Wed May 28 05:54:31 UTC 2025","496","A - A - A - Unity API Automation","Fund Transfer","","","","IMPS",""
"passed","Wed May 28 05:54:33 UTC 2025","Wed May 28 05:54:34 UTC 2025","252","A - A - A - Unity API Automation","Inter Beneficiary","","","","Beneficiary Add",""
"passed","Wed May 28 05:54:32 UTC 2025","Wed May 28 05:54:32 UTC 2025","256","A - A - A - Unity API Automation","INTRA Beneficiary","","","","INTRA Beneficiary Add Validate",""
"passed","Wed May 28 05:54:33 UTC 2025","Wed May 28 05:54:33 UTC 2025","253","A - A - A - Unity API Automation","Inter Beneficiary","","","","INTER Beneficiary Add Validate",""
"passed","Wed May 28 05:54:32 UTC 2025","Wed May 28 05:54:32 UTC 2025","251","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary add",""
"failed","Wed May 28 05:54:33 UTC 2025","Wed May 28 05:54:33 UTC 2025","254","A - A - A - Unity API Automation","INTRA Beneficiary","","","","beneficiary Delete",""
"passed","Wed May 28 05:54:34 UTC 2025","Wed May 28 05:54:34 UTC 2025","254","A - A - A - Unity API Automation","Inter Beneficiary","","","","Delete Validate",""
"failed","Wed May 28 05:54:34 UTC 2025","Wed May 28 05:54:35 UTC 2025","257","A - A - A - Unity API Automation","Excel Detailed Statement","","","","Excel Detailed Statement",""
"failed","Wed May 28 05:54:34 UTC 2025","Wed May 28 05:54:34 UTC 2025","253","A - A - A - Unity API Automation","Inter Beneficiary","","","","beneficiary Delete",""
"failed","Wed May 28 05:54:35 UTC 2025","Wed May 28 05:54:36 UTC 2025","254","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last Month",""
"failed","Wed May 28 05:54:35 UTC 2025","Wed May 28 05:54:35 UTC 2025","254","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF This Month",""
"passed","Wed May 28 05:54:32 UTC 2025","Wed May 28 05:54:33 UTC 2025","254","A - A - A - Unity API Automation","INTRA Beneficiary","","","","Beneficiary Search",""
"failed","Wed May 28 05:54:31 UTC 2025","Wed May 28 05:54:32 UTC 2025","492","A - A - A - Unity API Automation","Fund Transfer","","","","INTRA",""
"failed","Wed May 28 05:54:36 UTC 2025","Wed May 28 05:54:36 UTC 2025","258","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Current FE",""
"failed","Wed May 28 05:54:36 UTC 2025","Wed May 28 05:54:36 UTC 2025","253","A - A - A - Unity API Automation","PDF Detail Statement","","","","PDF Last 90 Days",""
"failed","Wed May 28 05:54:35 UTC 2025","Wed May 28 05:54:35 UTC 2025","252","A - A - A - Unity API Automation","Mini Statement","","","","PDF Mini Statement",""
"passed","Wed May 28 05:54:29 UTC 2025","Wed May 28 05:54:30 UTC 2025","256","A - A - A - Unity API Automation","Login","","","","Verify OTP",""
