"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5996","RTGS","Unity API Automation","Fri May 30 01:53:31 IST 2025","passed","Fri May 30 01:53:37 IST 2025","Fund Transfer","Business","",""
"","8920","PDF This Month","Unity API Automation","Fri May 30 01:52:10 IST 2025","passed","Fri May 30 01:52:19 IST 2025","PDF Detail Statement","Retail","",""
"","519","INTER Beneficiary Add Validate","Unity API Automation","Fri May 30 01:53:40 IST 2025","passed","Fri May 30 01:53:41 IST 2025","Inter Beneficiary","Business","",""
"","462","beneficiary Delete","Unity API Automation","Fri May 30 01:52:02 IST 2025","passed","Fri May 30 01:52:02 IST 2025","INTRA Beneficiary","Retail","",""
"","702","Beneficiary add","Unity API Automation","Fri May 30 01:53:39 IST 2025","passed","Fri May 30 01:53:39 IST 2025","INTRA Beneficiary","Business","",""
"","6082","PDF Last Month","Unity API Automation","Fri May 30 01:52:19 IST 2025","passed","Fri May 30 01:52:25 IST 2025","PDF Detail Statement","Retail","",""
"","742","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 01:52:00 IST 2025","passed","Fri May 30 01:52:00 IST 2025","INTRA Beneficiary","Retail","",""
"","386","Delete Validate","Unity API Automation","Fri May 30 01:52:01 IST 2025","passed","Fri May 30 01:52:02 IST 2025","INTRA Beneficiary","Retail","",""
"","139","Search Beneficiary","Unity API Automation","Fri May 30 01:53:09 IST 2025","passed","Fri May 30 01:53:09 IST 2025","Login","Business","",""
"","8273","NEFT","Unity API Automation","Fri May 30 01:53:11 IST 2025","passed","Fri May 30 01:53:19 IST 2025","Fund Transfer","Business","",""
"","1359","Excel Mini Statement","Unity API Automation","Fri May 30 01:52:08 IST 2025","passed","Fri May 30 01:52:10 IST 2025","Mini Statement","Retail","",""
"","814","Beneficiary add","Unity API Automation","Fri May 30 01:52:00 IST 2025","passed","Fri May 30 01:52:01 IST 2025","INTRA Beneficiary","Retail","",""
"","459","Verify OTP","Unity API Automation","Fri May 30 01:53:08 IST 2025","passed","Fri May 30 01:53:09 IST 2025","Login","Business","",""
"","1605","INTRA Beneficiary Add Validate","Unity API Automation","Fri May 30 01:53:37 IST 2025","passed","Fri May 30 01:53:39 IST 2025","INTRA Beneficiary","Business","",""
"","218","RTGS","Unity API Automation","Fri May 30 01:51:59 IST 2025","failed","Fri May 30 01:52:00 IST 2025","Fund Transfer","Retail","",""
"","5496","INTRA","Unity API Automation","Fri May 30 01:53:26 IST 2025","passed","Fri May 30 01:53:31 IST 2025","Fund Transfer","Business","",""
"","596","beneficiary Delete","Unity API Automation","Fri May 30 01:53:42 IST 2025","passed","Fri May 30 01:53:42 IST 2025","Inter Beneficiary","Business","",""
"","405","Beneficiary Add","Unity API Automation","Fri May 30 01:52:03 IST 2025","passed","Fri May 30 01:52:03 IST 2025","Inter Beneficiary","Retail","",""
"","584","Account","Unity API Automation","Fri May 30 01:51:40 IST 2025","passed","Fri May 30 01:51:40 IST 2025","Login","Retail","",""
"","95","Log Out","Unity API Automation","Fri May 30 01:53:52 IST 2025","passed","Fri May 30 01:53:52 IST 2025","Logout","Business","",""
"","12503","PDF Custom Range","Unity API Automation","Fri May 30 01:52:55 IST 2025","passed","Fri May 30 01:53:08 IST 2025","PDF Detail Statement","Retail","",""
"","1170","PDF Mini Statement","Unity API Automation","Fri May 30 01:52:07 IST 2025","passed","Fri May 30 01:52:08 IST 2025","Mini Statement","Retail","",""
"","1756","Account","Unity API Automation","Fri May 30 01:53:09 IST 2025","passed","Fri May 30 01:53:11 IST 2025","Login","Business","",""
"","312","Delete Validate","Unity API Automation","Fri May 30 01:52:03 IST 2025","passed","Fri May 30 01:52:04 IST 2025","Inter Beneficiary","Retail","",""
"","6398","IMPS","Unity API Automation","Fri May 30 01:53:19 IST 2025","passed","Fri May 30 01:53:26 IST 2025","Fund Transfer","Business","",""
"","392","Beneficiary Add","Unity API Automation","Fri May 30 01:53:41 IST 2025","passed","Fri May 30 01:53:41 IST 2025","Inter Beneficiary","Business","",""
"","207","Beneficiary Search","Unity API Automation","Fri May 30 01:52:03 IST 2025","passed","Fri May 30 01:52:03 IST 2025","Inter Beneficiary","Retail","",""
"","7731","IMPS","Unity API Automation","Fri May 30 01:51:47 IST 2025","passed","Fri May 30 01:51:55 IST 2025","Fund Transfer","Retail","",""
"","391","INTER Beneficiary Add Validate","Unity API Automation","Fri May 30 01:52:02 IST 2025","passed","Fri May 30 01:52:03 IST 2025","Inter Beneficiary","Retail","",""
"","467","Search Beneficiary","Unity API Automation","Fri May 30 01:51:39 IST 2025","passed","Fri May 30 01:51:40 IST 2025","Login","Retail","",""
